,10kx10k,10kx30k,20kx10k,20kx30k,30kx10k,30kx30k
L2_RQSTS:PF_HIT,"18955159132,18261668098,18120060648,17649197347,16397574975,18446532795","53549632511,55634963808,54378559834,52998009414,54075762862,103661710666","74905732023,72432241266,166803583986,71215620041,73694338440,76599700975","212852278624,376807023174,606398233104,210316493659,515018118850,220684217940","168704427754,161582445990,338964213338,160884058732,162605284957,247062317816","473786743604,851838507100,489477197371,479822483532,481220467153,941503214790"
L2_RQSTS:PF_MISS,"1768831866,1427250593,2060822397,2379663734,2657234810,3378341553","9734988151,6255001601,4961617749,4859316235,5958995164,6808489907","9345659596,9168650214,7382341815,7946781814,6738935487,7965891994","33547572274,24719877742,22917911548,19947809593,20235342748,27694046164","16798270790,20216268454,18510270591,18568309195,15007415583,15855332839","91986280270,57978161493,47679437160,40529216562,51391734301,53141031211"
L2_RQSTS:ALL_DEMAND_REFERENCES,"6582396946,6763750438,7441490882,7717801843,10800683615,10299246096","20810399043,19908226167,20612433819,21901757156,24244575737,27620958323","27139791039,27823113345,28925579722,31093664894,30126558872,32610920543","82111362483,80654482625,82916696832,87018402914,96428404569,108411169158","59812729603,61429168656,64896905217,70063135605,68005245441,77186014179","188983341424,183703518752,185927834986,193755525767,222048487213,247459906125"
L2_RQSTS:ALL_DEMAND_MISS,"237101697,281880466,12827549001,40529108536,20465092279,33054074001","796991818,762775853,110259485417,894068182,1051628937,1217702961","1003687785,1152959080,1368712617,1649197326,1055604138,1185649142","2911564735,210444236793,3352243206,530908411460,357239176772,4678049112","2019579297,321262796857,342890658284,637930469433,2197494272,2323011914","6792687444,6368029579,7083030413,1175832190248,215705246560,300265856395"
L2_RQSTS:REFERENCES,"27304626452,26462356509,55503559379,33197076003,29616078797,31796687518","84092705904,114886865358,183890878476,200317294501,84157541265,89555095186","111388177506,109502983867,172504213702,110816525751,110326847612,184764303801","328430218712,588714502016,598757826284,317400723919,475965039455,559772644029","245302026711,243304297972,567548972547,339256098762,246003055210,262491002120","754746389995,723495448218,723670482157,1207579763784,751892068630,887101495342"
L2_RQSTS:MISS,"2005935358,20165176303,20618460774,2797287475,17130217070,4161232507","10532224858,112336024986,5794104103,157074217133,85516682274,51661579800","10349033336,9899148659,8752305512,9633368988,34338074188,84115343851","36452468898,233917477841,26262837141,23455743350,24133531330,386206300203","18817611885,497431033083,620685625599,22177457739,17397182122,18213711197","98784372893,988823816157,54653882567,809381923100,301571232777,63550533293"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"60942263,36489844089,38591508937,216223966,356038379,16364739769","245033925,202397401,200995683295,22656800456,473731694,33108820898","270715272,150784576348,200341883048,94938437203,285756301,133265803688","711650581,695181073,1188262804,532533414746,301925062991,2389416487","451344094,483775770631,1290289438,1773657312,554513607,694833547","1880175770,1479794200,494445468946,491703147129,3781809308,5196183328"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"221514047,231348712,6503589335,244908035,6032985847,307137276","700500991,108856003310,72954562962,695138432,37566178074,718129670","923526548,932204775,275073053123,986820688,961650825,1010611849","2689475079,2792634172,805183840322,2836280618,2809176940,2852203099","1987553195,2018462201,508403444860,2120610998,2010747175,156646601710","6154384836,6036674688,6078200612,878708528706,963429491816,6059645647"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"666630,36457823135,19093752362,2332452,5824472406,12737292063","1648322,2349738,110077046738,154628793510,6502026,84158778510","2751724,3685043,174929108512,47365529321,15404949,298569395871","7857060,8680396,514115643697,217995946094,23142987,37314202","5350874,7725573,508329243216,18367875,227954494634,30918426","14994400,470018447560,1636482956326,291863363157,55129009,402168746707"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"1108487337,995923526,38925426250,9354619260,12934396999,30610408869","7496708952,109981158481,164961482262,90129310622,3380336463,48357696308","6405827732,149945813882,151629817978,194171847649,3989246397,4588489917","25374144223,17267569097,231524426810,12944032237,11344324336,67290847486","10444768251,14313798916,455854075069,12196099539,8849504525,364668694971","70826774675,1428828796055,1666858755346,24663829053,29091347297,27854122665"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"456780192,18640055623,71114482790,416602930,414040442,444827857","1392518176,1239334924,164072245752,88980837781,78145256121,91500638859","1875466092,219018982448,1635054657,1619739448,159114321532,258753554804","5250648911,4669393759,4647000572,791307184238,4676907585,4876626971","4372105814,331869214318,175620278401,3819381842,207861674177,261710664935","13187449175,945670956770,337378061511,9985252120,77550922627,290160131872"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"157374750,36321225091,57730612689,283534878,625197846,28594596043","695300097,55201279189,164022109208,610433237,1031131890,187606801801","870205023,814720198,822144920,127858628671,928614525,107108069732","2428049390,2298334745,511632402700,92170018819,3672735417,6251949349","1556529295,162148053067,456475288843,2231565687,2322181458,3237318145","6715275210,5061996953,4968681323,204187279727,403654874275,13346813769"
Runtime,"19.7433,5.63263,2.10097,1.30494,1.15131,1.43482","61.2931,16.8357,5.90662,3.65159,2.92165,2.80559","80.8385,23.0571,8.05635,5.32605,3.78625,3.8462","239.532,66.6785,24.0482,14.8317,11.0817,11.3306","176.102,50.2641,18.5095,11.9239,8.46636,8.9195","549.113,148.821,53.9862,32.067,27.3915,25.8033"
