,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
L2_RQSTS:ALL_DEMAND_MISS,"124537308,6816383195,10110368480,35090767,22389175647,47795021,40205499818,29779363587","576790659,78755403400,114803573704,141834518348,125804741592,349070962,162497469453,55299762104","174849948,75313160,2485147676,77368725,29387026290,104547598,29972114021,17210118975","872489247,88428708511,408839413,482136258,158121126535,156316052897,302935385111,19079340654","267870566,140607485,13863815247,25750097912,14851857286,29287616751,58427563633,253322235141","1428469196,189676648068,701170545,132625923165,814747826,942548169,884261935,881497152"
L2_RQSTS:REFERENCES,"1340816700,1752589690,1772644663,9901514232,16615372652,35314191817,28592301458,55237657100","16253471828,21731458025,21433462892,21491214739,22010743862,260134596570,383804640905,12676079883","2321482132,2957963315,3001505082,3053133563,21520897035,10051931055,9774234193,69012631369","27874481767,36969745493,205786089841,36662948683,143590794565,131667877545,27360123400,202033393449","3334479823,4194701099,4246776376,4332286820,4573340465,18793571920,25865007715,30327678221","39506857409,52507591162,318172062351,51819926428,238169783704,115495235254,161475092624,335609555653"
L2_RQSTS:MISS,"423977248,412639923,385791841,424867001,5163520834,13204726195,438714599,19606975678","4501338902,80877467946,3861158478,155092919912,66198346450,103043160317,3104902258,181457822742","743073181,751669547,786634571,34235030578,945193398,49208262188,834559733,41711991138","7582824141,7413724748,7160061520,366518471168,66116451620,62502845322,5853024718,229010642216","1122505618,1110648236,18086460143,1267688277,10128833672,1491704881,39321398450,34620334364","10690941892,10832877663,110359119814,10340138915,10577990535,11088972532,329338827715,108455691322"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"128893131,51334567,39110533,3703934977,8444985182,7484427418,47853633,9386900824","533002297,79848795157,51096119314,238660673,126167924904,316293907,150385301895,269580769806","205221455,109531137,98929508,108017265,65284837077,11045240632,8699818505,27227817253","902537591,579940021,500912193,575894009,228080574076,650969317,74798398406,720511033184","327304236,211869215,197563679,210252815,209713527,20343490314,68371964163,42988731055","1453922769,1012577308,916374268,934895168,969349650,1060083471,916571536,552780503888"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"7681173,7457742,10123459240,11488880,3441497781,33750031407,16249018066,15439636","109056434,89669928,61381998,205940538130,89423385,112118691,61280209733,78406222783","15090995,11683364,14136944,22180666913,12514063446,26386155,11944873070,7018742880","166588292,140025490,65908415420,75157209352,127056220,97900724068,127013433,251866010438","26304227,5642937951,19980297,51913845922,20083710370,36194176,37007514719,51301008940","198874797,221762186,200448772871,155497447,407283656750,171544977503,400926255341,291737980174"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"226377,426646,2561790149,4879173934,28239839850,24796403872,6270225868,8823257451","2154821,52387712559,4194558,193392168848,107222586453,9672017,291853751390,96581226785","330567,707677,26391098091,1131776,15613646351,21913157375,44560673930,9760483640","3358050,43956336407,6049235,270164386016,114049537357,272898031429,46668903300,155051581334","473854,11769417800,3519122408,22984692918,38691708269,32150854851,10344780504,3461770502","4617110,125663385146,338634660896,472624975937,282045727931,16156669,140017665392,412243967556"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"219392974,6580411113,261317231,284453079,13077445074,7659770560,10582107754,7708003142","3058947774,3075613999,2879835888,2759012179,64645835829,146882223973,89643508415,12152696016","389965046,494964639,2979500210,17221030517,13696257989,15292442293,517805592,20973340182","5184929133,5381171140,5327127731,140562549168,158550765917,182246065743,34324134688,123620450473","587758117,712785881,759225181,43004742313,876879024,58430697611,59189888132,98869732506","7297569822,7678736532,272280350821,193525457465,7264007460,111595511604,609784259204,77425241872"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"37090645,2181194939,38080277,18437584384,60203527,24192958618,58017234,4695614635","231367177,52776467372,114519107242,100882058130,46253302848,58330461492,29826040802,273826242815","61297891,68013525,75972393,83507528,115352287,74164378363,2240337294,21142048225","351221538,444820219,438001519,193485845194,642394906,730392772,291732987271,51346469541","64522283,74725703,96786879,26303006880,38254388063,55360976467,16498722328,20114508732","375354734,633210806,557331831,666906380,348344336328,975607743,423942898763,201430693436"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"37049460,6827303150,7633213718,6222995710,8538581289,48398184,36443934,30401935344","562948819,492457714,449114634,499268865,64632276097,80001608084,58529262809,187681988776","70457348,65584224,12606054102,76514013,17688710635,82339245,8746072253,67622291","968027659,135762938364,66509290291,856076892,977711165,97692142995,383918823863,119125647712","116177010,96093428,25791565737,16069737396,125321287,37508670241,36949567542,33729043174","1357811329,126242874579,1160743250,1229968789,1317579462,22234091416,327339674373,177112916225"
Runtime,"1.83547,0.713585,0.411515,0.408217,0.409573,0.444105,0.466422,0.69179","21.2285,8.1678,4.26373,4.08248,3.49314,3.96271,4.49313,4.98221","3.11089,1.23122,0.761761,0.769202,0.775846,0.77438,0.85566,0.963255","36.8717,14.0435,7.08721,6.39131,7.09683,6.78401,7.15479,8.43065","4.48708,1.82205,1.08311,1.13565,1.03868,1.05759,1.14978,1.51946","52.3636,20.5989,10.8198,9.88079,9.29984,9.48017,9.51298,11.8407"
