,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
L2_RQSTS:RFO_HIT,"58344517,63579187,65938500,66854186,68859524,70254797,59310099,58253603","847263489,872033797,925958466,931793684,946128276,948399103,680310355,546458544","97299166,104853466,107918386,110076923,112510406,115990760,98704616,94975938","1410999393,1473860082,1560568170,1566060094,1600269362,1599656598,1140157918,917611992","134521511,145034332,149854314,150481655,156664915,162444196,136259708,132048691","1965150102,2037509764,2181967165,2206063477,2259068063,2244640791,1603179913,1287052835"
L2_RQSTS:RFO_MISS,"7283103,5144571,6863868,9091929,13582847789,21978221137,2643222660,19352643198","73627882,25387586944,46701472,59149699,200082840423,105213369,77942944,41260352784","11899228,11891090819,9983066,22942225208,23980081856,26098884749,20974721468,26248431680","141416614,135855645432,68465092189,86837402,370847575248,128740810715,274945124841,82501708018","17218712,11154631,19577036777,13333652,25784388,14601703022,25370807218,39878150232","213496786,65736959298,105834759,480139547017,143319060,131523576321,107133119,249964929436"
L2_RQSTS:ALL_CODE_RD,"214835,426781,653465,910771,1334025,1582893,918592,857906","2003106,3144718,4761468,6104928,8309981,10962915,7684917,5384364","343151,663724,851555,1189685,1634289,1882316,1357840,1131105","3340534,4709117,6378547,8659916,12172135,13575003,10080681,7849805","491505,867550,1105617,1446226,1920370,2171036,1654268,1413996","4779767,6531469,8347706,10435258,13726433,18227633,11097299,9923814"
L2_RQSTS:CODE_RD_HIT,"299,7129,18296,40610,98741,173744,91688,103867","2547,31594,102005,239156,394172,695780,752793,540809","394,7613,27790,63122,134180,253912,178693,99228","3188,29292,137667,283359,886824,1017335,1064024,698770","556,8601,36435,82776,177881,303509,223362,186021","6817,32998,188546,334196,856973,1830567,1221082,1171439"
L2_RQSTS:CODE_RD_MISS,"204672,408416,653489,864957,1226213,1404613,835947,736105","2004676,3062374,4608970,5834017,8002421,9789236,6933652,5020834","325885,652215,831241,1140132,1503441,1653370,1212563,983000","3426533,4697223,6249844,8178197,11322438,12726279,8736256,7303945","463482,860584,1069520,1354338,1740536,1893212,1290932,1175281","4901742,6603042,8723735,10231170,12790699,16412751,10128242,8548598"
L2_RQSTS:ALL_PF,"1028445265,1317842831,1308487199,1322264153,21430642628,42457631497,32609468653,38133140375","13788634147,17395338791,75734676840,221703436333,80722645522,73889890086,224139879759,182872333583","1741038128,2225063743,2205513886,23107508891,22551724594,44438682460,55034140267,17202992072","23477158083,65598024595,89614642272,134022268327,28488513445,120453457143,362638724890,16693679128","2464992551,17409481350,18001281790,26649387471,31236270729,36852574297,21644110453,29641996819","33357758576,148209683611,69265732705,285608742381,243407863023,218090637497,181844316157,214113786391"
L2_RQSTS:PF_HIT,"693626318,941975164,951113345,932654976,12286056302,7803209402,2207445941,27127483488","9958449255,84361567585,58402112170,171944158297,169823087578,13784311021,9714568661,7806038992","1165128008,8825435604,1488039762,34778399583,1421334862,11800352980,9733518292,9914312261","16811814688,103820556994,188418336588,110118366416,381284797478,22568836748,66145237724,395884674009","1688399291,2217194821,20454130921,2044833937,13066544145,13480689638,93622113208,48600028182","23843204386,142129635955,262941625424,31023435559,274270998057,772446956355,402754906570,18640412286"
L2_RQSTS:PF_MISS,"334491778,373840121,356718782,390690092,441084602,460325822,384643953,349304665","3830618354,3958750645,3611479004,3682010241,3737152189,3935986318,2832041544,2243522015","575394616,674520917,717188593,757967438,843691821,895962287,767188781,731215470","6662606580,6927924575,6746959741,6699691779,6838176339,6928350346,5175920059,3905313730","777829930,972299027,1041880234,1097529359,1246255949,1324911101,1086425710,1099128031","9526617210,10196751934,9727530247,9563184793,9718523467,9874726530,7324668722,5949221723"
L2_RQSTS:ALL_DEMAND_REFERENCES,"348451859,435543967,464450755,496518596,556442101,584922404,456519642,425490424","2572935343,4323827880,4495972253,4642000460,4969787004,5230458109,3649850568,2865207184","583731672,730882291,794184435,849104957,941060108,1006849704,814404117,748656490","4404308998,7306635091,7694839891,7967409715,8526041793,8760745807,6161352885,4605461879","829380845,1015101849,1101294231,1153860232,1313299374,1402253087,1100294426,1036611246","6144264380,10295228481,10756873289,11177017494,11911914287,12264350307,8526690977,6504503388"
L2_RQSTS:ALL_DEMAND_MISS,"106714707,6788565203,29911094,35279699,9202786925,1256068075,6954893640,7435761232","560754503,79860037583,111836278648,224844302,98991038259,180994173912,314990026,298898823849","171130281,75237523,70631870,81288029,72548495007,103160933,12810424691,77816859","882645104,44305622740,414210642,104886934387,307755763625,205173329449,380125062144,285888468106","300040830,16772310655,6617638187,136093886,31858982643,18361351238,39805982060,34355660151","1299250190,64095346057,660401792,767527040,415750063182,134184419184,752584145,624840581257"
L2_RQSTS:REFERENCES,"1376719380,1753431982,2962515004,2920770850,1909034458,1973459525,20615865564,12182516699","16361909936,65467946878,120265191595,21543485635,186740181610,22938202637,71996208593,144139369821","2323949246,2954469418,4850323721,36894149329,42861736282,68698051166,13631558175,26144951776","27874232798,36902275273,36566127543,159850476018,36997353278,38270793275,27215976167,186954028523","3296026608,4203522409,30118346920,4298359051,28290480658,78956699864,23188011442,68006611692","39517028530,52722214618,51837714671,51751911881,148579964681,306109421709,193315889229,30789278325"
L2_RQSTS:MISS,"441382710,4600862053,386795613,425762229,487211171,9793136640,19274044087,13895649004","4391486093,4205271274,3808125086,3905877957,92569562385,96485653953,3148434841,271406080260","746583737,749576584,787777251,839532552,31454416268,37579167111,20543433011,14177021934","7542045771,49079374824,7159701766,7151542638,253819430206,134009654067,5850951519,45681247598","1076999405,11920493348,1179616381,1232952773,18245469050,7172074767,1249515972,7825444705","10830963428,133857730950,164047242570,361047926594,10521737436,766870325834,114498424541,32826990761"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"123049453,54344564,38798299,41852905,47506159,4846809820,47427690,29131772713","531535433,265006784,95962529578,91963445989,264832990,69024730124,82508733807,32429506034","202315648,109509340,15683081839,110091325,111016445,43356213924,16755377743,88140961","903981995,548158838,512109180,551540550,576203740,47095807049,18722400055,85022574807","341689785,204072394,206856852,40169198650,210325279,15328860008,185845024,58556462050","1380836194,193576722137,871450288,262978968233,935366163,949227418,478344113113,300298651488"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"9503698,7419887,9254008,11384285,14894612,17923034,2503171014,33351390190","89203265,54543678982,57774654,72173549,86892367,115132136,63919337581,99409648979","15334480,11517979,17936215408,17020399,14912353726,11181344263,59276330713,37649133967","171222782,138474358,91583143,308680450285,141201475495,108029251,91156432681,74971636","20912569,5433674076,20163504,17627466,14194004476,64660892419,30760008,6270087368","258083441,220539937,133696506,187599535789,289097695614,90661006102,273305309109,139480135892"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"215805,401582,642589,20876777762,1223559,22732957367,14910523425,726350","1961558,3038242,15869676120,70217769747,9993201215,94064720384,138559179212,166514485703","330163,642340,828372,1090922,1465928,1658417,1172062,9612624122","3354890,87590152645,6227698,7973873,11185855,361802576310,95573622898,477665992796","474829,844220,1066462,25030518988,1736609,20794838854,1395045,24344971567","4594628,62742827692,190250598412,10044969,190026548023,14837148,10250581,259941731083"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"224897452,273038160,261853240,19797563362,317798490,11031507183,16437183533,18765560784","3023736070,53278409349,2809420633,2794179186,2717885516,48559175625,85585508365,101054107097","395875959,4217934160,9084591682,552046374,612187770,636914094,23082846168,88356714484","5152155245,5430211342,205458611409,182893296349,271224392441,5086938694,3706680816,159254979188","549534651,715219613,32339093413,810399855,20323371989,35943448847,16731079136,17423195770","7350207528,68584917493,7666866420,7258572147,7161843487,143011846595,316102806728,246130539190"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"38816730,40168172,5160251722,47099001,61306790,31067344031,1256372882,10096233685","205657836,25747068197,251389493,309015147,30543355855,470234012,28372589499,79366316417","60978257,67200994,76053231,86155639,12825504282,28220153195,14699910432,32222904745","349295825,93047010697,90835449392,504020008,81135414814,567576429,166607644631,61030602852","60037768,78568151,96259974,15310057722,45419886345,18161450974,64764789603,140748114","444372581,572586765,555699881,665403999,129570568896,115504100085,407426948541,645818917625"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"42149407,37352103,7536132178,10171006368,43829347,8400360554,16074175144,22434188050","539503281,26535656180,467674686,495914030,549512299,66544822965,475298618,80844325634","71315307,3823765960,66778083,72073857,13385026944,73742842,6647052862,7934135409","956481835,44589913993,797744184,874780923,223099381760,1068625836,18851643466,127974837800","103646685,95586063,102058414,21313466836,114575786,23464527479,92877442,104046085","1384024746,63685708402,65073874493,1276306559,1377337494,68253588382,113145840685,60019871548"
Runtime,"1.79832,0.707787,0.40072,0.382503,0.416322,0.438988,0.516988,0.665078","21.0792,8.25517,5.05813,3.9816,3.80121,3.72438,4.0923,5.49662","3.10521,1.22969,0.729986,0.72382,0.781284,0.797873,0.785307,1.17349","36.8571,14.1422,7.2862,7.17561,7.74574,6.62351,6.65371,8.74625","4.39171,1.70928,1.06075,0.997096,1.03771,1.04943,1.2077,1.36522","53.0559,20.0017,11.164,10.0692,9.12384,10.084,9.64732,12.074"
